Quận / huyện,Tên,Địa chỉ,Note,Review,MXH,lat,lon
Đan Phượng,PHOTO MEMORY-ĐAN PHƯỢNG,"https://www.google.com/maps/place/HaHa+Photobooth/@21.0859295,105.6662233,17z/data=!3m1!4b1!4m6!3m5!1s0x313457abcfc63a81:0x9ec573d447950834!8m2!3d21.0859295!4d105.6662233!16s%2Fg%2F11xcty8bl8?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0859295,105.6662233
Đan Phượng,HaHa Photobooth,"https://www.google.com/maps/place/Meow+photobooth/@21.0858246,105.5993971,12z/data=!4m10!1m2!2m1!1smeow+photobooth!3m6!1s0x3134570065dd27a7:0x5e25a525b08a322e!8m2!3d21.0858246!4d105.6694349!15sCg9tZW93IHBob3RvYm9vdGhaESIPbWVvdyBwaG90b2Jvb3RokgELcGhvdG9fYm9vdGjgAQA!16s%2Fg%2F11l_48_1mg?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0858246,105.5993971
Đan Phượng,Meow photobooth,"https://www.google.com/maps/place/PHOTO+MEMORY-%C4%90AN+PH%C6%AF%E1%BB%A2NG/@21.07495,105.7016559,17z/data=!3m1!4b1!4m6!3m5!1s0x3134550041cf562d:0xf8059b68ed30c9ff!8m2!3d21.07495!4d105.7016559!16s%2Fg%2F11yrn1gvp1?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.07495,105.7016559
Đống Đa,Tahu Ngon,"https://www.google.com/maps/place/168+P.+Th%C3%A1i+H%C3%A0,+Trung+Li%E1%BB%87t,+%C4%90%E1%BB%91ng+%C4%90a,+H%C3%A0+N%E1%BB%99i+100000,+Vietnam/@21.0127444,105.8206037,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab7daeb5a24b:0xab9e840945d952a6!8m2!3d21.0127444!4d105.8206037!16s%2Fg%2F11sj7sjr63?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,21.0127444,105.8206037
Đống Đa,Linh Linh Photobooth,"https://www.google.com/maps/place/Tahu+Ngon/@21.0194938,105.8313576,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab004515c109:0xb403337ffafb1411!8m2!3d21.0194938!4d105.8313576!16s%2Fg%2F11x0r71j4d!17m2!4m1!1e3!18m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIwNC4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,21.0194938,105.8313576
Đống Đa,Photo Palette - Láng Hạ,"https://www.google.com/maps/place/Photo+Razzle+Dazzle+68+Ch%C3%B9a+L%C3%A1ng/@21.0235503,105.8072836,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab004f81289b:0x3b32310f381820e!8m2!3d21.0235503!4d105.8072836!16s%2Fg%2F11w1jxyrcc?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0235503,105.8072836
Đống Đa,Photo Palette,"https://www.google.com/maps/place/PHOTO+TIME+-+CH%C3%99A+L%C3%81NG/@21.0234721,105.8049344,17z/data=!3m1!4b1!4m6!3m5!1s0x3135abdcd9e134c9:0xbf7a5d65f752b02c!8m2!3d21.0234721!4d105.8049344!16s%2Fg%2F11wq3lw3bz?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0234721,105.8049344
Đống Đa,CameraOn Chua Boc,"https://www.google.com/maps/place/Oldmoon+Self+Studio/@21.0234049,105.8042687,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab0040445d35:0xcefb1252b3a16804!8m2!3d21.0234049!4d105.8042687!16s%2Fg%2F11xsv6hhwy?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0234049,105.8042687
Đống Đa,MF Studio,"https://www.google.com/maps/place/I+PLAN.B+OSTUDIO/@21.0233802,105.8038342,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab003b001f5d:0xc38ed8318a4f92c0!8m2!3d21.0233802!4d105.8038342!16s%2Fg%2F11lv5btkzd?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0233802,105.8038342
Đống Đa,Bee.booth - Photobooth Hà Nội,"https://www.google.com/maps/place/Photo+Story+-+%ED%8F%AC%ED%86%A0%EC%8A%A4%ED%86%A0%EB%A6%AC+128+Ch%C3%B9a+L%C3%A1ng/@21.0231003,105.8014296,17z/data=!3m1!4b1!4m6!3m5!1s0x3135abdbb614e8ef:0xa4445976053e7fa0!8m2!3d21.0231003!4d105.8014296!16s%2Fg%2F11vym55s3l?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0231003,105.8014296
Đống Đa,Photo Hoàng,"https://www.google.com/maps/place/PHOTOSONA/@21.0229371,105.8080695,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab00399b9a59:0x3d568e2660b7dd62!8m2!3d21.0229371!4d105.8080695!16s%2Fg%2F11ydk1y4lv?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0229371,105.8080695
Đống Đa,168 P. Thái Hà ,"https://www.google.com/maps/place/Life4cuts+photobooth+-+%EC%9D%B8%EC%83%9D%EB%84%A4%EC%BB%B7/@21.0227665,105.800543,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab5c23c2cad1:0x1d827e4c551793!8m2!3d21.0227665!4d105.800543!16s%2Fg%2F11txh1c_zk?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0227665,105.800543
Đống Đa,Glame Photobooth,"https://www.google.com/maps/place/H.U.N+Photobooth/@21.0227315,105.8221327,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab00416d7a1f:0xae387513f22016e7!8m2!3d21.0227315!4d105.8221327!16s%2Fg%2F11x0fnsftz?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0227315,105.8221327
Đống Đa,Pose photo,"https://www.google.com/maps/place/Photoism/@21.0224721,105.7982547,17z/data=!4m10!1m2!2m1!1sphotoism!3m6!1s0x3135abe09934c3fd:0xab667dc1a941c05b!8m2!3d21.0224721!4d105.8004434!15sCghwaG90b2lzbVoKIghwaG90b2lzbZIBEnBob3RvZ3JhcGh5X3N0dWRpb5oBJENoZERTVWhOTUc5blMwVkpOMFZ0ZEROamVscGZhamxSUlJBQuABAPoBBAgAEC4!16s%2Fg%2F11x63_fvw1?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0224721,105.7982547
Đống Đa,I PLAN.B OSTUDIO,"https://www.google.com/maps/place/Petite+Film+Photobooth/@21.0199086,105.8263483,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ad95dd2c02f1:0xa92d0bf171c227eb!8m2!3d21.0199086!4d105.8263483!16s%2Fg%2F11xg7n68fn?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0199086,105.8263483
Đống Đa,H.U.N Photobooth,"https://www.google.com/maps/place/Photo+Palette+-+L%C3%A1ng+H%E1%BA%A1/@21.0194473,105.8082694,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab0830f675c3:0x3c80c848008a97c5!8m2!3d21.0194473!4d105.8082694!16s%2Fg%2F11xh2nx9bx?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0194473,105.8082694
Đống Đa,MonoClick - Photobooth,"https://www.google.com/maps/place/Pose+photo/@21.0174564,105.8101168,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab00355f2873:0x4a28262c8900c9f1!8m2!3d21.0174564!4d105.8101168!16s%2Fg%2F11wn0mss8q?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0174564,105.8101168
Đống Đa,Photo Razzle Dazzle 104 C2 Phạm Ngọc Thạch,"https://www.google.com/maps/place/Photo+Easel+-+Photobooth+%C4%90%E1%BB%91ng+%C4%90a/@21.0161288,105.8225366,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab006372a447:0x9d4fc3b5869e6f22!8m2!3d21.0161288!4d105.8225366!16s%2Fg%2F11xykrvp0v?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0161288,105.8225366
Đống Đa,Photo Razzle Dazzle 68 Chùa Láng,"https://www.google.com/maps/place/MF+Studio/@21.015707,105.8241477,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab0066ff851f:0xc75ab0eca2447494!8m2!3d21.015707!4d105.8241477!16s%2Fg%2F11xz4_rjh8?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.015707,105.8241477
Đống Đa,Photo Objet,"https://www.google.com/maps/place/Glame+Photobooth/@21.0152295,105.8233064,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab001f9fb4eb:0x873cfad21651a30b!8m2!3d21.0152295!4d105.8233064!16s%2Fg%2F11mdgq3qmq?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoASAFQAw%3D%3D",,,,21.0152295,105.8233064
